,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
108,Kenya,15-24,female,2019,5323820.0,58.043,3090104.8426,13.175,294291.97198745003,1939423.1854125499,694079.0992284494,12926.903290372997,119481.7161065984,0.0,6055.64677863935,61889.1449535849,460839.2860513073,46550.637411079435,91033.87483755195,3049.7846218023524,22505.262222001074,5175.457975769256,9044.113899846503,24532.436186713985,36550.8837413184,129282.73149428845,40115.12654187338,0,0,95435.68860368391,0
109,Kenya,15-24,female,2020,5469100.0,58.456,3197017.0960000004,14.775,335700.24906599993,1936382.6549339998,68573992.19430958,1253828.0887230015,12197769.75972053,0.0,595611.6771954364,6178897.939930729,46520515.81108752,4491713.707654985,8883733.176884055,294276.5159190835,2262373.232245746,519489.30845869594,907807.6756588102,2462456.147670463,3853151.463115383,13373660.701368673,4131287.7470588763,0,0,9322707.60721561,0
110,Kenya,15-24,female,2021,5604760.0,58.395,3272899.602,14.463,337256.96936273994,1994603.42863726,68233784.76475346,1299084.4415068794,11783193.732631113,0.0,645044.2858055778,6385475.445479899,46671771.440967426,4645524.397173607,9321777.599480039,304353.48804344505,2229599.052348677,527490.4554102661,921789.681637451,2500382.7674843823,3523980.0989706605,12740293.994824197,3998711.068658184,0,0,9659062.10051257,0
111,Kenya,15-24,female,2022,5740420.0,58.126,3336676.5291999998,14.332,344504.51423505606,2059238.9565649442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
112,Kenya,15-24,female,2023,5876080.0,58.196,3419643.5168,14.321,351786.268759072,2104650.2144409283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
113,Kenya,15-24,female,2024,6011740.0,58.297,3504664.0678,14.3,358511.85830460006,2148564.0738954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
130,Kenya,15-24,male,2015,4769000.0,53.436,2548362.84,7.337,162928.1484292,2057709.0115708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
131,Kenya,15-24,male,2016,4916300.0,53.445,2627516.535,7.378,168866.44404769997,2119917.0209522997,64021762.23259768,2060202.4065644983,15481984.884757793,232239.44154907184,557796.4576605248,19736527.552651882,34365326.045415506,18147757.022595957,5611804.013558128,1098718.1356495442,1798211.2572576518,671662.6975384663,1710944.20669039,6221838.941606471,5930756.952243921,11031267.021788834,2515093.2918079267,0,0,4384609.393450677,0
132,Kenya,15-24,male,2017,5063600.0,54.779,2773789.444,8.798,201457.53271688,2088353.0232831198,63694789.42830991,2058652.882912584,15424839.560376752,232526.66696708417,558486.3203283331,19641557.910352718,34742972.83885616,17623913.966902196,5656720.523215414,1067003.1493397662,1814038.252986815,651885.6544112707,1660565.6201052635,6038637.496104775,5892051.082570277,10991365.670179602,2499733.455086332,0,0,4380156.776468749,0
133,Kenya,15-24,male,2018,5210900.0,56.142,2925503.478,10.189,232859.05162657998,2052537.47037342,64110857.460785545,2051671.4209018033,15324411.023652205,233207.25561591503,560120.9691843139,19490289.251677517,34243490.24685182,18069007.90132417,5541019.7513112705,1093950.4341864903,1798772.9425512454,671955.7296218283,1711690.6550896238,6224553.396993206,5889581.81339932,10916232.54842157,2488154.1000508503,0,0,4382012.49899865,0
134,Kenya,15-24,male,2019,5358200.0,57.54,3083108.28,11.675,265616.95831,2009474.76169,634558.4327923706,20943.597294164316,150369.95831682734,2279.360514963799,5474.605056305338,206593.43290005458,338687.10889324936,187163.53428989698,55708.04645023554,11331.426203278494,17815.983482002604,7106.145162367808,18101.672077386487,65826.62824355578,59160.28776246042,112444.48986721164,24292.343096583707,0,0,42833.4099720355,0
